,id,release_date,movie,production_budget,domestic_gross_x,worldwide_gross,date,year,t1,t2,score,title,studio,domestic_gross_y,foreign_gross,world_gross,dg_diff
149,31,20-Oct-17,Tyler Perryâs Boo 2! A Madea Halloween,20000000,47319572,47879572,10/20/17,2017,Tyler Perryâs Boo 2! A Madea Halloween,Tyler Perry's Boo 2! A Madea Halloween,0.075,Tyler Perry's Boo 2! A Madea Halloween,LGF,47300000,1000000,48300000,19572
113,22,13-Sep-13,The Family,30000000,36918811,51078541,9/13/13,2013,The Family,The Family (2013),0.411764706,The Family (2013),Rela.,36900000,41500000,78400000,18811
58,99,8-Jun-18,Oceanâs 8,70000000,140218711,297115976,6/8/18,2018,Oceanâs 8,Ocean's 8,0.272727273,Ocean's 8,WB,140200000,157500000,297700000,18711
140,40,7-Apr-17,Going in Style,24000000,45018541,78672579,4/7/17,2017,Going in Style,Going in Style (2017),0.333333333,Going in Style (2017),WB (NL),45000000,39900000,84900000,18541
177,39,26-Aug-16,Donât Breathe,10000000,89217875,158973685,8/26/16,2016,Donât Breathe,Don't Breathe,0.2,Don't Breathe,SGem,89200000,67900000,157100000,17875
114,28,2-Mar-18,Death Wish,30000000,34017028,48575965,3/2/18,2018,Death Wish,Death Wish (2018),0.411764706,Death Wish (2018),MGM,34000000,,,17028
150,61,12-Apr-13,Scary Movie V,20000000,32015787,78613981,4/12/13,2013,Scary Movie V,Scary Movie 5,0.076923077,Scary Movie 5,W/Dim.,32000000,46400000,78400000,15787
57,43,3-Aug-18,Christopher Robin,75000000,99215042,197504758,8/3/18,2018,Christopher Robin,Disney's Christopher Robin,0.346153846,Disney's Christopher Robin,BV,99200000,98500000,197700000,15042
27,72,1-Apr-10,Clash of the Titans,125000000,163214888,493214888,4/1/10,2010,Clash of the Titans,Clash of the Titans (2010),0.269230769,Clash of the Titans (2010),WB,163200000,330000000,493200000,14888
35,28,21-Dec-16,Passengers,110000000,100014699,302239672,12/21/16,2016,Passengers,Passengers (2016),0.411764706,Passengers (2016),Sony,100000000,203100000,303100000,14699
89,59,27-Jan-12,One for the Money,42000000,26414527,36197221,1/27/12,2012,One for the Money,One For the Money,0.058823529,One For the Money,LGF,26400000,10500000,36900000,14527
170,42,4-Apr-14,Under the Skin,13300000,2614251,7229933,4/4/14,2014,Under the Skin,Under the Skin (2014),0.333333333,Under the Skin (2014),A24,2600000,2800000,5400000,14251
16,35,17-Mar-17,Beauty and the Beast,160000000,504014165,1259199706,3/17/17,2017,Beauty and the Beast,Beauty and the Beast (2017),0.259259259,Beauty and the Beast (2017),BV,504000000,759500000,1263500000,14165
157,52,29-Apr-16,Ratchet and Clank,20000000,8813410,14365639,4/29/16,2016,Ratchet and Clank,Ratchet & Clank,0.176470588,Ratchet & Clank,Focus,8800000,,,13410
158,38,2-Nov-18,Nobodyâs Fool,19000000,31713110,32589493,11/2/18,2018,Nobodyâs Fool,Nobody's Fool,0.2,Nobody's Fool,Par.,31700000,1800000,33500000,13110
4,49,5-May-17,Guardians of the Galaxy Vol 2,200000000,389813101,862316233,5/5/17,2017,Guardians of the Galaxy Vol 2,Guardians of the Galaxy Vol. 2,0.033333333,Guardians of the Galaxy Vol. 2,BV,389800000,473900000,863700000,13101
137,77,21-Dec-12,Cirque du Soleil: Worlds Away,25000000,12512862,28012862,12/21/12,2012,Cirque du Soleil: Worlds Away,Cirque Du Soleil: Worlds Away,0.034482759,Cirque Du Soleil: Worlds Away,Par.,12500000,21600000,34100000,12862
31,1,17-Dec-10,How Do You Know?,120000000,30212620,49628177,12/17/10,2010,How Do You Know?,How Do You Know,0.0625,How Do You Know,Sony,30200000,18500000,48700000,12620
