,id_x,release_date_x,movie,production_budget,domestic_gross,worldwide_gross,date_x,year,t1,t2,score,Unnamed: 0,genre_ids,id_y,original_language,original_title,popularity,release_date_y,title,vote_average,vote_count,date_y
51,30,"Nov 11, 2016",Billy Lynnâs Long Halftime Walk,"$40,000,000","$1,738,477","$30,230,402",2016-11-11,2016,Billy Lynnâs Long Halftime Walk,Billy Lynn's Long Halftime Walk,0.09090909090909091,20907,"[18, 10752]",293767,en,Billy Lynn's Long Halftime Walk,9.318,2016-11-11,Billy Lynn's Long Halftime Walk,5.9,309,2016-11-11
52,42,"Dec 31, 2018",The Crow,"$40,000,000",$0,$0,2018-12-31,2018,The Crow,The Row,0.25,24317,"[53, 27]",529649,en,The Row,8.113,2018-07-27,The Row,4.5,16,2018-07-27
53,64,"Oct 8, 2010",Life as We Know It,"$38,000,000","$53,374,681","$105,887,837",2010-10-08,2010,Life as We Know It,Life As We Know It,0.05555555555555555,86,"[35, 10749, 18]",38408,en,Life As We Know It,11.806,2010-10-02,Life As We Know It,6.8,1748,2010-10-02
54,98,"Feb 12, 2016",How to be Single,"$37,000,000","$46,843,513","$100,003,780",2016-02-12,2016,How to be Single,How to Be Single,0.0625,17557,"[35, 10749]",259694,en,How to Be Single,10.270999999999999,2016-02-12,How to Be Single,6.1,2036,2016-02-12
55,5,"Oct 5, 2018",A Star is Born,"$36,000,000","$215,288,866","$433,449,571",2018-10-05,2018,A Star is Born,A Star Is Born,0.07142857142857142,23828,"[18, 10749, 10402]",332562,en,A Star Is Born,35.848,2018-10-05,A Star Is Born,7.5,5676,2018-10-05
56,6,"Feb 11, 2011",Gnomeo and Juliet,"$36,000,000","$99,967,670","$193,737,977",2011-02-11,2011,Gnomeo and Juliet,Gnomeo & Juliet,0.17647058823529413,2496,"[16, 10751]",45772,en,Gnomeo & Juliet,16.408,2011-02-11,Gnomeo & Juliet,5.8,1085,2011-02-11
57,20,"Jan 22, 2016",Yip Man 3,"$36,000,000","$2,679,437","$157,300,954",2016-01-22,2016,Yip Man 3,Ip Man 3,0.2222222222222222,17502,"[28, 18, 36]",365222,cn,葉問3,12.11,2016-01-22,Ip Man 3,6.7,681,2016-01-22
58,45,"Dec 21, 2012",This is 40,"$35,000,000","$67,544,505","$90,221,182",2012-12-21,2012,This is 40,This Is 40,0.1,5391,[35],89492,en,This Is 40,8.132,2012-12-21,This Is 40,5.7,1296,2012-12-21
59,75,"Apr 23, 2010",The Back-up Plan,"$35,000,000","$37,490,007","$75,281,179",2010-04-23,2010,The Back-up Plan,The Back-Up Plan,0.0625,35,"[35, 10749]",34806,en,The Back-Up Plan,15.49,2010-04-23,The Back-Up Plan,6.0,806,2010-04-23
60,3,"Sep 16, 2016",Bridget Jonesâs Baby,"$35,000,000","$24,139,805","$205,822,688",2016-09-16,2016,Bridget Jonesâs Baby,Bridget Jones's Baby,0.13636363636363635,17549,"[35, 10749]",95610,en,Bridget Jones's Baby,10.517999999999999,2016-09-16,Bridget Jones's Baby,6.4,1806,2016-09-16
61,91,"Jun 12, 2013",This is the End,"$32,000,000","$101,470,202","$126,539,117",2013-06-12,2013,This is the End,This Is the End,0.06666666666666667,8001,"[28, 35]",109414,en,This Is the End,10.635,2013-06-12,This Is the End,6.2,3789,2013-06-12
62,65,"Aug 18, 2017",The Hitmanâs Bodyguard,"$30,000,000","$75,468,583","$172,778,667",2017-08-18,2017,The Hitmanâs Bodyguard,The Hitman's Bodyguard,0.125,20654,"[28, 35]",390043,en,The Hitman's Bodyguard,21.46,2017-08-18,The Hitman's Bodyguard,6.7,3017,2017-08-18
63,29,"Nov 24, 2010",Love and Other Drugs,"$30,000,000","$32,367,005","$102,716,321",2010-11-24,2010,Love and Other Drugs,Love & Other Drugs,0.15,132,"[18, 35, 10749]",43347,en,Love & Other Drugs,10.09,2010-11-24,Love & Other Drugs,6.9,2509,2010-11-24
64,36,"Dec 25, 2017",Mollyâs Game,"$30,000,000","$28,780,744","$53,296,424",2017-12-25,2017,Mollyâs Game,Molly's Game,0.21428571428571427,20715,"[80, 18]",396371,en,Molly's Game,14.64,2017-12-25,Molly's Game,7.1,1724,2017-12-25
