,title_id,festival1,D3,IMAX,title_idtitle_id,title_x,region_x,language_x,types_x,attributes_x,title_y,studio,domestic_gross,foreign_gross,year,world_gross,tconst_x,primary_title,original_title,start_year,runtime_minutes,genres,Mystery,Drama,Animation,Game-Show,News,Biography,Short,Action,Family,Sport,Crime,War,Horror,Music,Reality-TV,Fantasy,Documentary,Comedy,Western,Thriller,Talk-Show,Musical,Romance,Sci-Fi,Adult,Adventure,History,archive_sound,writer,producer,actress,director,composer,cinematographer,self,editor,production_designer,actor,archive_footage,archive_sound_age,writer_age,producer_age,actress_age,director_age,composer_age,cinematographer_age,self_age,editor_age,production_designer_age,actor_age,archive_footage_age,actor_ordering,actress_ordering,actress_ratio,tconst_y,averagerating,numvotes
2779,tt4429194,0,0,0,tt4429194,18,26,3,2,1,Paris Can Wait,SPC,5600000,,2017,,tt4429194,Paris Can Wait,Bonjour Anne,2016,92,"Comedy,Drama,Romance",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,1,2,1,1,1,0,1,1,2,0,,,1934,1965,1936,,,,,,1958,,2.5,2.5,0.5,tt4429194,5.8,6416
2780,tt4430136,0,0,0,tt4430136,3,3,1,1,1,Pyaar Ka Punchnama 2,Rel.,223000,,2015,,tt4430136,Pyaar Ka Punchnama 2,Pyaar Ka Punchnama 2,2015,137,"Comedy,Drama,Romance",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,2,1,1,1,2,0,0,0,0,3,0,,1985,1987,,,,,,,,,,2,4,0.25,tt4430136,7.3,12820
2781,tt4432006,0,0,0,tt4432006,3,4,0,3,0,The Whale,Pala.,81900,,2011,,tt4432006,Hannah,Hannah,2017,93,Drama,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,3,2,1,1,0,0,0,0,2,0,,,,1946,1982,,,,,,1947,,3,2,0.5,tt4432006,5.9,931
2782,tt4438848,0,0,0,tt4438848,27,35,5,4,1,Neighbors 2: Sorority Rising,Uni.,55500000,52600000,2016,108100000,tt4438848,Neighbors 2: Sorority Rising,Neighbors 2: Sorority Rising,2016,92,Comedy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,3,1,2,1,1,0,0,0,0,2,0,,,,1988,1976,,,,,,1984.5,,2,3,0.5,tt4438848,5.7,102793
2783,tt4439120,0,0,0,tt4439120,7,7,1,4,1,Tag,WB (NL),54700000,23400000,2018,78100000,tt4439120,Tag,Riaru onigokko,2015,85,"Action,Fantasy,Horror",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0,4,1,2,1,0,0,0,0,0,,,,1992,1961,,,,,,,,,2.5,1,tt4439120,6.1,4331
2784,tt4443658,1,0,0,tt4443658,8,10,1,3,0,Better Watch Out,WGUSA,20400,,2017,,tt4443658,Better Watch Out,Better Watch Out,2016,89,"Comedy,Crime,Horror",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,4,1,1,0,0,0,0,0,3,0,,,1975,1998,,,,,,,2001.5,,3,1,0.25,tt4443658,6.5,22367
2785,tt4446472,0,0,0,tt4446472,6,5,0,3,0,Porto,KL,15100,,2017,,tt4446472,Porto,Porto,2016,76,"Drama,Romance",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,1,4,2,1,0,0,0,0,0,2,0,,1953,,,1982,,,,,,1989,,2,3,0.5,tt4446472,6.2,1370
2786,tt4449576,1,0,0,tt4449576,15,16,3,4,2,Tomorrow,UTMW,62500,,2017,,tt4449576,Tomorrow,Demain,2015,118,Documentary,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,0,1,1,1,4,1,0,0,0,,,,,1983,,,,,,,,,,,tt4449576,8.1,2817
2787,tt4453750,0,0,0,tt4453750,1,1,0,0,0,Before We Go,RTWC,37200,,2015,,tt4453750,Before We Go,Before We Go,2014,84,"Documentary,Drama,News",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,0,1,3,1,4,0,0,0,0,,,,,,1964,,,,,,,,,,tt4453750,7,22
2788,tt4465564,0,0,0,tt4465564,25,31,4,2,2,Fifty Shades Darker,Uni.,114600000,267000000,2017,381600000,tt4465564,Fifty Shades Darker,Fifty Shades Darker,2017,118,"Drama,Romance",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,2,3,2,1,0,0,0,0,0,2,0,,1963,1964.333333,1987.5,1953,,,,,,1980.5,,2.5,2.5,0.5,tt4465564,4.6,81706
