,t1,t2,score
1592901,Silence,The Silence,0.36363636363636365
1134123,The Promise,The Pyramid,0.36363636363636365
173271,The Fits,The Pirates,0.36363636363636365
1133919,The Promise,The Tribe,0.36363636363636365
1134260,The Promise,The Prison,0.36363636363636365
1006756,The Lovers,The Concert,0.36363636363636365
112826,The Timber,The Thieves,0.36363636363636365
1095022,The Prince,The Oranges,0.36363636363636365
1094802,The Prince,The Priests,0.36363636363636365
1323507,The Circle,The Pirates,0.36363636363636365
1288104,The Lobster,The Loft,0.36363636363636365
172890,The Fits,The Priests,0.36363636363636365
1645302,Queen of the Desert,Juan of the Dead,0.3684210526315789
1749008,The History of Love,The Names of Love,0.3684210526315789
650997,Fright Night,Fright Night (2011),0.3684210526315789
1770947,Salvation Boulevard,London Boulevard,0.3684210526315789
1635841,Ghostbusters,Ghostbusters (2016),0.3684210526315789
1743892,Ask Me Anything,Absolutely Anything,0.3684210526315789
860648,Side Effects,Side Effects (2013),0.3684210526315789
1533896,Midnight Cabaret,Midnight's Children,0.3684210526315789
880411,Total Recall,Total Recall (2012),0.3684210526315789
1693851,The Lords of Salem,The Look of Silence,0.3684210526315789
97266,No Good Deed,No Good Deed (2014),0.3684210526315789
907768,Endless Love,Endless Love (2014),0.3684210526315789
1799936,Night School,Night School (2018),0.3684210526315789
726764,Madea's Big Happy Family,Tyler Perry's Madea's Big Happy Family,0.3684210526315789
303793,The Greatest,The Greatest (2010),0.3684210526315789
855075,The Predator,The Predator (2018),0.3684210526315789
1651272,In the Name of the King III,In the Name of my Daughter,0.37037037037037035
1775790,The Interview,The Interrupters,0.375
1235136,The Inbetweeners,The Interrupters,0.375
108009,The Word,The Wife,0.375
172322,The Fits,The Cut,0.375
1390370,The Little Ponderosa Zoo,The Little Bedroom,0.375
1578476,The Gift,The Hunt,0.375
1819149,The Kick,The Monk,0.375
1276754,Mi America,Mistress America,0.375
107712,The Word,The Loft,0.375
185458,Airlift (2016),Moonlight (2016),0.375
1727463,Restless,Restrepo,0.375
108873,The Word,The Monk,0.375
1630580,The Host,The Cut,0.375
1311067,The Pet,The Tree,0.375
137728,Drones,Ladrones,0.375
1424867,The Perfect Wave,A Perfect Day,0.375
1631751,The Host,The Monk,0.375
567414,Red Sky,Red Army,0.375
1263202,Creature,Creation,0.375
1309644,The Pet,The Loft,0.375
330997,The Reef,The Tree,0.375
109589,The Word,The Wave,0.375
1702300,The Sound and the Shadow,The Boy and the Beast,0.375
1885330,Krisha,Krrish 3,0.375
1864625,The Crow,The Club,0.375
787703,Counting,Mountain,0.375
1311380,The Pet,The Hunt,0.375
826747,The Boy,The Void,0.375
826520,The Boy,The Lady,0.375
1577588,The Gift,The Past,0.375
1095400,The Prince,The Happy Prince,0.375
988394,The Book of Life,The Good Lie,0.375
109211,The Word,The Way,0.375
1621249,About Last Night,Last Night,0.375
1818285,The Kick,The Wife,0.375
824994,The Boy,The Loft,0.375
1095865,The Prince,The Green Prince,0.375
1576730,The Gift,The Cut,0.375
1632343,The Host,The Void,0.375
1208892,Acrimony,Ceremony,0.375
1233133,Frontera,Lootera,0.375
826155,The Boy,The Monk,0.375
1864645,The Crow,The Tree,0.375
1679531,The Masked Saint,The Last Suit,0.375
332610,The Gatekeepers,The Interrupters,0.375
1030963,Re-Kill,Red Hill,0.375
108105,The Word,The Lure,0.375
172629,The Fits,The Wife,0.375
901309,Drinking Buddies,Breakup Buddies,0.375
1863212,The Crow,The Cut,0.375
662432,The Rise of the Krays,The Eye of the Storm,0.38095238095238093
1371652,The Birth of a Nation,The Death of Stalin,0.38095238095238093
445524,Detention of the Dead,Juan of the Dead,0.38095238095238093
1673561,The Hangover 3,The Hangover Part III,0.38095238095238093
1056360,Mission: ImpossibleâRogue Nation,Mission: Impossible - Fallout,0.38235294117647056
405952,The Front Man,The Tall Man,0.38461538461538464
305273,The Greatest,The President,0.38461538461538464
1465352,The Awakening,The Remaining,0.38461538461538464
117784,The Comedian,The Guardians,0.38461538461538464
499434,London Fields,London River,0.38461538461538464
1134563,The Promise,The President,0.38461538461538464
808384,Godzilla,Shin Godzilla,0.38461538461538464
875484,Down for Life,Down By Love,0.38461538461538464
963172,The Avengers,The Swindlers,0.38461538461538464
255454,The Family,We Are Family,0.38461538461538464
109043,The Word,The Last Word,0.38461538461538464
1163494,The Ridges,The Swindlers,0.38461538461538464
379758,Secret in Their Eyes,The Secret in their Eyes (2015),0.3870967741935484
342508,The Maid's Room,The Forbidden Room,0.3888888888888889
1897581,Mission: ImpossibleâGhost Protocol,Mission: Impossible - Rogue Nation,0.3888888888888889
549301,Point Break,Point Break (2015),0.3888888888888889
723521,Left Behind,Left Behind (2014),0.3888888888888889
1714062,Elsa & Fred,Elsa & Fred (2014),0.3888888888888889
166289,Breaking In,Breaking In (2018),0.3888888888888889
1693600,The Lords of Salem,The Look of Love,0.3888888888888889
1134564,The Promise,The Promise (2017),0.3888888888888889
1055880,Mission: ImpossibleâRogue Nation,Mission: Impossible - Ghost Protocol,0.3888888888888889
805155,Poltergeist,Poltergeist (2015),0.3888888888888889
1768897,Dr. Seussâ The Grinch,Dr. Seuss' The Lorax,0.391304347826087
280953,The Last Days on Mars,4:44: Last Day on Earth,0.391304347826087
185459,Airlift (2016),Girlhood (2015),0.4
515979,The Bronze,The Monk,0.4
1864466,The Crow,The Prison,0.4
1622737,The Final Girls,The Danish Girl,0.4
1487792,Joe,Joker,0.4
515721,The Bronze,The Tribe,0.4
515281,The Bronze,The Choice,0.4
1444476,The Good Guy,The Good Doctor,0.4
304567,The Greatest,The Greatest Miracle,0.4
1502302,Trust,Truth,0.4
581430,Detention,Demolition,0.4
112317,The Timber,The Wife,0.4
113268,The Timber,The Arbor,0.4
1797256,Beauty and the Beast,Beyond the Reach,0.4
