,t1,t2,score
8498074,The Disappearance of Eleanor Rigby,The Disappearance of Sandra Cantu,0.29411764705882354
8597836,3 Idiotas,3 idiots,0.2222222222222222
8626539,3 Idiotas,4 Idiots,0.2222222222222222
8629299,3 Idiotas,Two Idiots,0.4
8656594,3 Idiotas,6 Idiotet,0.3333333333333333
8713832,3 Idiotas,7 diosas,0.3333333333333333
8717251,3 Idiotas,The Idiots,0.4
8723450,3 Idiotas,3 idiotas,0.1111111111111111
8731603,3 Idiotas,Idiots,0.3333333333333333
8832759,Point Break (2015),Point Break,0.3888888888888889
8953203,Point Break (2015),Point Break - Na fali,0.42857142857142855
9327813,Revenge (2018),Revenge Artist,0.42857142857142855
9352203,Revenge (2018),Revenge of Zoe,0.42857142857142855
9355847,Revenge (2018),Revenge Match,0.42857142857142855
9395451,Revenge (2018),Revenge Girl,0.42857142857142855
9430705,Revenge (2018),Revenge List,0.42857142857142855
9450719,Revenge (2018),Revenge Movie,0.42857142857142855
9479614,Revenge (2018),Revenge City,0.42857142857142855
9600584,Mother (2010),Mother 24/7,0.38461538461538464
9708824,Mother (2010),Mother 1971,0.38461538461538464
9800148,Don't Worry He Won't Get Far on Foot,"Don't Worry, He Won't Get Far on Foot",0.02702702702702703
10017775,Nine Lives (2016),Nine Lives,0.4117647058823529
10506998,Looking for Eric,Looking for Teddy,0.29411764705882354
10508988,Looking for Eric,Looking for my Wife,0.3157894736842105
10522211,Looking for Eric,Busking for Berlin,0.3888888888888889
10532426,Looking for Eric,Looking for Grace,0.17647058823529413
10532934,Looking for Eric,Running for Grace,0.4117647058823529
10534861,Looking for Eric,Looking for Coco,0.25
10544996,Looking for Eric,Looking for Johnny,0.3333333333333333
10545040,Looking for Eric,Longing for a Kiss,0.3888888888888889
10552933,Looking for Eric,Looking for Deni,0.25
10560737,Looking for Eric,Cooking for Two,0.3125
10564266,Looking for Eric,Waiting for April,0.4117647058823529
10568470,Looking for Eric,Looking for Lions,0.29411764705882354
10568915,Looking for Eric,Looking for David,0.23529411764705882
10569930,Looking for Eric,Looking for Maria Sanchez,0.4
10580094,Looking for Eric,Looking for Muhyiddin,0.38095238095238093
10587501,Looking for Eric,Looking for Cole,0.25
10589879,Looking for Eric,Looking for Lennon,0.3333333333333333
10589935,Looking for Eric,Scoring for Peace,0.4117647058823529
10590018,Looking for Eric,Looking for Her,0.25
10593003,Looking for Eric,Looking for Haru,0.25
10600113,Looking for Eric,Looking for George,0.2777777777777778
10600892,Looking for Eric,Looking For?,0.375
10602272,Looking for Eric,Looking for Alger,0.29411764705882354
10608453,Looking for Eric,Looking Four Mecca,0.3333333333333333
10609110,Looking for Eric,Looking for Rohmer,0.3333333333333333
10618879,Looking for Eric,Looking for Clarissa,0.3
10621234,Looking for Eric,Looking for Mike,0.25
10625651,Looking for Eric,Looking for the Truth,0.38095238095238093
10626204,Looking for Eric,Shooting for Home,0.4117647058823529
10629239,Looking for Eric,Looking for Love,0.25
10630150,Looking for Eric,Looking for Hortense,0.35
10634184,Looking for Eric,Looking for Europe,0.2222222222222222
10637340,Looking for Eric,Looking for Group,0.23529411764705882
10641527,Looking for Eric,Looking for Rasta,0.29411764705882354
10644398,Looking for Eric,Looking for Life,0.25
10650623,Looking for Eric,Looking for Monica,0.2222222222222222
10655109,Looking for Eric,Looking for Mr. Miyagi,0.36363636363636365
10656063,Looking for Eric,Looking for the Wild,0.35
10657793,Looking for Eric,Looking for the Lorax,0.38095238095238093
10659669,Looking for Eric,Looking for the Locrians,0.4166666666666667
10662695,Looking for Eric,Looking for Jesus,0.29411764705882354
10676310,Looking for Eric,Looking for Change,0.3333333333333333
10680260,Looking for Eric,Looking for Matilde,0.3157894736842105
10685695,Looking for Eric,Looking for Zorro,0.23529411764705882
10697605,Looking for Eric,Looking for Alison,0.2777777777777778
10704325,Looking for Eric,Looking for Kadija,0.2777777777777778
10705000,Looking for Eric,Looking for a True Fiancée,0.4230769230769231
10708229,Looking for Eric,Looking for Lenny,0.29411764705882354
10712002,Looking for Eric,Looking for Luke,0.25
10719594,Looking for Eric,Looking for Zion,0.25
