,id_x,release_date_x,movie,production_budget,domestic_gross,worldwide_gross,date_x,year,t1,t2,score,Unnamed: 0,genre_ids,id_y,original_language,original_title,popularity,release_date_y,title,vote_average,vote_count,date_y
44,94,10-Feb-17,John Wick: Chapter Two,"$40,000,000 ","$92,029,184 ","$171,350,009 ",2/10/17,2017,John Wick: Chapter Two,John Wick: Chapter 2,0.136363636,20619,"[53, 28, 80]",324552,en,John Wick: Chapter 2,45.253,2/10/17,John Wick: Chapter 2,7,5863,2/10/17
45,16,21-Sep-18,The House with a Clock in its Walls,"$40,000,000 ","$68,549,695 ","$126,331,750 ",9/21/18,2018,The House with a Clock in its Walls,The House with a Clock in Its Walls,0.028571429,23887,"[14, 10751]",463821,en,The House with a Clock in Its Walls,21.805,9/21/18,The House with a Clock in Its Walls,6.2,933,9/21/18
46,28,15-Feb-13,Escape From Planet Earth,"$40,000,000 ","$57,012,977 ","$74,156,610 ",2/15/13,2013,Escape From Planet Earth,Escape from Planet Earth,0.041666667,8052,"[16, 35, 12, 10751, 878]",68179,en,Escape from Planet Earth,9.227,2/14/13,Escape from Planet Earth,5.8,459,2/14/13
47,48,30-May-14,A Million Ways to Die in The West,"$40,000,000 ","$42,720,965 ","$86,778,557 ",5/30/14,2014,A Million Ways to Die in The West,A Million Ways to Die in the West,0.03030303,11154,"[35, 37]",188161,en,A Million Ways to Die in the West,10.816,5/30/14,A Million Ways to Die in the West,5.8,2219,5/30/14
48,70,25-Dec-11,Extremely Loud and Incredibly Close,"$40,000,000 ","$31,847,881 ","$55,247,881 ",12/25/11,2011,Extremely Loud and Incredibly Close,Extremely Loud & Incredibly Close,0.085714286,2641,[18],64685,en,Extremely Loud & Incredibly Close,9.828,12/24/11,Extremely Loud & Incredibly Close,7,1231,12/24/11
49,21,10-Jul-15,Baahubali: The Beginning,"$40,000,000 ","$6,738,000 ","$26,736,665 ",7/10/15,2015,Baahubali: The Beginning,Bahubali: The Beginning,0.041666667,14356,"[28, 18]",256040,te,Bahubali: The Beginning,9.254,7/10/15,Bahubali: The Beginning,7.3,228,7/10/15
50,30,11-Nov-16,Billy Lynnâs Long Halftime Walk,"$40,000,000 ","$1,738,477 ","$30,230,402 ",11/11/16,2016,Billy Lynnâs Long Halftime Walk,Billy Lynn's Long Halftime Walk,0.090909091,17618,"[18, 10752]",293767,en,Billy Lynn's Long Halftime Walk,9.318,11/11/16,Billy Lynn's Long Halftime Walk,5.9,309,11/11/16
51,30,11-Nov-16,Billy Lynnâs Long Halftime Walk,"$40,000,000 ","$1,738,477 ","$30,230,402 ",11/11/16,2016,Billy Lynnâs Long Halftime Walk,Billy Lynn's Long Halftime Walk,0.090909091,20907,"[18, 10752]",293767,en,Billy Lynn's Long Halftime Walk,9.318,11/11/16,Billy Lynn's Long Halftime Walk,5.9,309,11/11/16
53,64,8-Oct-10,Life as We Know It,"$38,000,000 ","$53,374,681 ","$105,887,837 ",10/8/10,2010,Life as We Know It,Life As We Know It,0.055555556,86,"[35, 10749, 18]",38408,en,Life As We Know It,11.806,10/2/10,Life As We Know It,6.8,1748,10/2/10
54,98,12-Feb-16,How to be Single,"$37,000,000 ","$46,843,513 ","$100,003,780 ",2/12/16,2016,How to be Single,How to Be Single,0.0625,17557,"[35, 10749]",259694,en,How to Be Single,10.271,2/12/16,How to Be Single,6.1,2036,2/12/16
55,5,5-Oct-18,A Star is Born,"$36,000,000 ","$215,288,866 ","$433,449,571 ",10/5/18,2018,A Star is Born,A Star Is Born,0.071428571,23828,"[18, 10749, 10402]",332562,en,A Star Is Born,35.848,10/5/18,A Star Is Born,7.5,5676,10/5/18
56,6,11-Feb-11,Gnomeo and Juliet,"$36,000,000 ","$99,967,670 ","$193,737,977 ",2/11/11,2011,Gnomeo and Juliet,Gnomeo & Juliet,0.176470588,2496,"[16, 10751]",45772,en,Gnomeo & Juliet,16.408,2/11/11,Gnomeo & Juliet,5.8,1085,2/11/11
57,20,22-Jan-16,Yip Man 3,"$36,000,000 ","$2,679,437 ","$157,300,954 ",1/22/16,2016,Yip Man 3,Ip Man 3,0.222222222,17502,"[28, 18, 36]",365222,cn,葉問3,12.11,1/22/16,Ip Man 3,6.7,681,1/22/16
58,45,21-Dec-12,This is 40,"$35,000,000 ","$67,544,505 ","$90,221,182 ",12/21/12,2012,This is 40,This Is 40,0.1,5391,[35],89492,en,This Is 40,8.132,12/21/12,This Is 40,5.7,1296,12/21/12
59,75,23-Apr-10,The Back-up Plan,"$35,000,000 ","$37,490,007 ","$75,281,179 ",4/23/10,2010,The Back-up Plan,The Back-Up Plan,0.0625,35,"[35, 10749]",34806,en,The Back-Up Plan,15.49,4/23/10,The Back-Up Plan,6,806,4/23/10
60,3,16-Sep-16,Bridget Jonesâs Baby,"$35,000,000 ","$24,139,805 ","$205,822,688 ",9/16/16,2016,Bridget Jonesâs Baby,Bridget Jones's Baby,0.136363636,17549,"[35, 10749]",95610,en,Bridget Jones's Baby,10.518,9/16/16,Bridget Jones's Baby,6.4,1806,9/16/16
61,91,12-Jun-13,This is the End,"$32,000,000 ","$101,470,202 ","$126,539,117 ",6/12/13,2013,This is the End,This Is the End,0.066666667,8001,"[28, 35]",109414,en,This Is the End,10.635,6/12/13,This Is the End,6.2,3789,6/12/13
62,65,18-Aug-17,The Hitmanâs Bodyguard,"$30,000,000 ","$75,468,583 ","$172,778,667 ",8/18/17,2017,The Hitmanâs Bodyguard,The Hitman's Bodyguard,0.125,20654,"[28, 35]",390043,en,The Hitman's Bodyguard,21.46,8/18/17,The Hitman's Bodyguard,6.7,3017,8/18/17
63,29,24-Nov-10,Love and Other Drugs,"$30,000,000 ","$32,367,005 ","$102,716,321 ",11/24/10,2010,Love and Other Drugs,Love & Other Drugs,0.15,132,"[18, 35, 10749]",43347,en,Love & Other Drugs,10.09,11/24/10,Love & Other Drugs,6.9,2509,11/24/10
